Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
149.00,jacksepticeye,Role-playing_video_game,30400000,IE,1600000,83400,2300,http://youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g
150.00,TrapNation,Pop_music,30400000,US,47800,1600,60,http://youtube.com/channel/UCa10nxShhzNrCE1o2ZOPztg
151.00,LittleAngel,Film,30400000,US,394800,209,0,http://youtube.com/channel/UCNzsYU0aWwjERj-9Y9HUEng
152.00,TalkingTom,Film,30400000,US,201300,798,0,http://youtube.com/channel/UCm3hAp1m1xlAz0ve_EKAo4g
153.00,spinninrecords,Electronic_music,30200000,NL,31900,1200,33,http://youtube.com/channel/UCpDJl2EmP7Oh90Vylx0dZtA
154.00,HUMTV,Entertainment,30200000,PK,1100,7,0,http://youtube.com/channel/UCEeEQxm6qc_qaTE7qTV5aLQ
155.00,Dushyant_kukreja,Film,30000000,IN,5900000,231000,485,http://youtube.com/channel/UCo6y9hnRawAqtyWhRhblXqg
156.00,KLBROBijuRithvik1,Entertainment,29900000,IN,1600000,49800,309,http://youtube.com/channel/UCL5nlHWXVLeOsSjKH2fhmsg
157.00,DaFuqBoom,Action_game,29800000,US,52700000,1700000,82800,http://youtube.com/channel/UCsSsgPaZ2GSmO6il8Cb5iGA
158.00,ultrarecords,Music,29800000,US,15800,607,21,http://youtube.com/channel/UC4rasfm9J-X4jNl9SvXp8xA
159.00,zamzamelectronicstradingllc,Lifestyle_(sociology),29700000,AE,268700,18400,489,http://youtube.com/channel/UCrnQFuUabBHaw-BRhPo8xEA
160.00,AlanChikinChow,Entertainment,29700000,US,3600000,106500,428,http://youtube.com/channel/UC5gxP-2QqIh_09djvlm9Xcg
161.00,infobellstamilrhymes,Entertainment,29500000,IN,1200000,17700,0,http://youtube.com/channel/UCHcn4Ux-sO9nzNu7rDsoQLg
162.00,Maluma_Official,Music,29400000,US,226400,8500,275,http://youtube.com/channel/UClZuKq2m0Qu-HkopkSBLpEw
163.00,infobellstelugurhymes,Film,29400000,IN,271400,5600,0,http://youtube.com/channel/UCHvoq_rGmOKJKGId1nD1V4Q
164.00,adityamovies,Entertainment,29400000,IN,26600,1000,8,http://youtube.com/channel/UCX_uPA_dGf7wXjuMEaSKLJA
165.00,MashaOso,Film,29300000,MX,543200,5700,0,http://youtube.com/channel/UCuSo4gcgxJRf4Bzu43wwVyg
166.00,shemaroomovies,Entertainment,29200000,IN,24100,242,9,http://youtube.com/channel/UCBOmfqgTZi7yDp4-3Lr_3lA
167.00,gulshankalra07,Entertainment,29200000,IN,8100000,431100,1100,http://youtube.com/channel/UC56dNUTok1pgvpY75CsJQ4Q
168.00,junya1gou,Humour,29000000,JP,195000,924,34,http://youtube.com/channel/UCjp_3PEaOau_nT_3vnqKIvg
169.00,adityamusic,Music_of_Asia,28800000,IN,28200,568,14,http://youtube.com/channel/UCNApqoVYJbYSrni4YsbXzyQ
170.00,MichaelJackson,Pop_music,28800000,US,227300,9100,0,http://youtube.com/channel/UC5OrDvL9DscpcAstz7JnQGA
171.00,GoldminesDishoom,Film,28700000,IN,14100,167,0,http://youtube.com/channel/UCu7Hg0f3rxqZ6qs-188ZbjQ
172.00,DrakeOfficial,Music,28400000,US,0,0,0,http://youtube.com/channel/UCByOQJjav0CUDwxCk-jVNRQ
173.00,KidsRomaShow,Lifestyle_(sociology),28200000,US,1200000,3100,0,http://youtube.com/channel/UCx790OVgpTC1UVBQIqu3gnQ
174.00,toycantando,Music,28100000,CO,426400,11700,0,http://youtube.com/channel/UC2xjgvWb9cx5F637XjsUNxw
175.00,SandeepSeminars,Television_program,28000000,IN,1200000,58500,4000,http://youtube.com/channel/UCBqFKDipsnzvJdt6UT0lMIg
176.00,LankyBox,Film,28000000,US,346500,6300,200,http://youtube.com/channel/UCSf0s2ogUVYpJPuzW1zpAOg
177.00,bouncepatrol,Music,27900000,AU,339300,6600,0,http://youtube.com/channel/UC56cowXhoqRWHeqfSJkIQaA
178.00,JYPEntertainment,Music,27800000,KR,177700,8700,668,http://youtube.com/channel/UCaO6TYtlC8U5ttz62hTrZgg
179.00,nickjr,Film,27800000,US,109200,191,0,http://youtube.com/channel/UCUe6ZpY6TJ0no8jI4l2iLxw
180.00,CrazyXYZ,Lifestyle_(sociology),27800000,IN,4200000,284100,8600,http://youtube.com/channel/UCebC4x5l2-PQxg46Ucv9CsA
181.00,DanTDM,Video_game_culture,27800000,GB,3500000,285000,52500,http://youtube.com/channel/UCS5Oz6CHmeoF7vSad0qqXfw
182.00,wizkhalifa,Hip_hop_music,27800000,US,87400,4100,305,http://youtube.com/channel/UCVp3nfGRxmMadNDuVbJSk8A
183.00,brentrivera,Entertainment,27600000,US,6400000,154100,5000,http://youtube.com/channel/UC56D-IHcUvLVFTX_8NpQMXg
184.00,NichLmao,Entertainment,27500000,SG,1500000,85800,1600,http://youtube.com/channel/UC6VAIqNQBc7ggiqvsOHOBqw
185.00,GoldminesBollywood,Film,27300000,IN,8900,62,2,http://youtube.com/channel/UCOF23vGxkbhN4wl7ROrgXsA
186.00,renatongarcia,Lifestyle_(sociology),27200000,BR,748200,68800,833,http://youtube.com/channel/UChMJkHCD2wdvSO7CMOuLR-w
187.00,toypudding,Lifestyle_(sociology),27100000,US,0,0,0,http://youtube.com/channel/UCKqx9r4mrFglauNBJc1L_eg
188.00,dbillions,Film,27100000,US,1000000,651,0,http://youtube.com/channel/UCi3onjs7UU2Z64i3RrVci-Q
189.00,Netflix,Film,27000000,US,202600,2200,176,http://youtube.com/channel/UCWOA1ZGywLbqmigxE4Qlvuw
190.00,RaffyTulfoInAction,Society,26800000,PH,398300,5300,443,http://youtube.com/channel/UCxhygwqQ1ZMoBGQM2yEcNug
191.00,enchufetv,Entertainment,26800000,EC,34300,4300,17,http://youtube.com/channel/UCoGDh1Xa3kUCpok24JN5DKA
192.00,mujjuu___14,Entertainment,26800000,IN,4500000,144000,150,http://youtube.com/channel/UCHUu2HAnogpaK2UmTSJT8jg
193.00,indosiar,Entertainment,26700000,ID,18800,471,24,http://youtube.com/channel/UCYqOeAXJm8yV9sJ8Ud3cR7A
194.00,SpiderSlack,Lifestyle_(sociology),26600000,BR,532500,37700,192,http://youtube.com/channel/UCtiddfzHXNevG-yYe5vc_4Q
195.00,worldstarhiphop,Music,26600000,US,40300,993,127,http://youtube.com/channel/UC-yXuc1__OzjwpsJPlxYUCQ
196.00,smosh,Film,26300000,US,289100,21300,214,http://youtube.com/channel/UCY30JRSgfhYXA6i6xX1erWg
197.00,1MILLION_Dance,Pop_music,26300000,KR,35300,1800,20,http://youtube.com/channel/UCw8ZhLPdQ0u_Y-TLKd61hGA
198.00,dianaandromahin8102,Lifestyle_(sociology),26200000,US,109000,322,0,http://youtube.com/channel/UC5ma-WCc8jNCV0WyRnfbHTg
199.00,nickiminaj,Music,26100000,US,1600000,98300,7600,http://youtube.com/channel/UC3jOd7GUMhpgJRBhiLzuLsg
200.00,mariliamendoncareal,Music,26100000,BR,0,0,0,http://youtube.com/channel/UCwfEOn0O1DWcyTgzVVu28ig
201.00,TheLallantop,Society,26000000,IN,30800,822,52,http://youtube.com/channel/UCx8Z14PpntdaxCt2hakbQLQ
202.00,AGT,Performing_arts,25900000,US,186800,3100,197,http://youtube.com/channel/UCT2X19JJaJGUN7mrYuImANQ
203.00,davidguetta,Electronic_music,25900000,US,0,0,0,http://youtube.com/channel/UC1l7wYrva1qCH-wgqcHaaRg
204.00,ThatLittlePuff,Lifestyle_(sociology),25900000,US,5100000,299000,573,http://youtube.com/channel/UClFN9LShD_Pv0wnSeUKbUZw
